gene_symbol,module,score_group,rationale,C1,C2,C3,C4,C5,C6,C Pool 1,C Pool 2,C Pool 3,C Pool 4,C Pool 5,C Pool 6,GB2,GB4,GB5,GB6,GB7,GB8,GB9,GB11,GB14,GB15,GB16,GB22,GB26,GB27,GB32,GB33,GB38,GB42,GB 2/B Mono 1,GB 4/B Mono 1,GB 5/B Mono 1,GB 6/B Mono 1,GB 7/B Mono 1,GB 8/B Mono 1,GB 9/B Mono 1,GB 11/B Mono 1,GB 14/B Mono 1,GB 15/B Mono 1,GB 16/B Mono 1,GB 22/B Mono 1,GB 26/B Mono 1,GB 27/B Mono 1,GB 32/B Mono 1,GB 33/B Mono 1,GB 38/B Mono 1,GB 42/B Mono 1
NAMPT,nad_salvage_core,both,Core enzyme of NAD salvage and focal gene for iNAMPT/eNAMPT biology,10.853709165572905,10.219693398941917,11.454177949946198,11.585443788406927,10.998437408520026,10.752909119757824,10.82973739976881,10.652175667136648,11.27684208386677,11.055469200894699,11.013237170097126,10.894035207288624,12.500041778419037,12.17761278762622,11.36016315046718,11.574428435738167,11.395755021189046,10.871395893344836,11.114550200504377,10.374126757608206,11.879457467770719,11.910230847822815,12.193784369386657,11.60204579334468,11.645662259778117,11.120992081348746,11.447980755932234,10.93949032863364,11.749578680808334,11.288723931141442,12.54404857639382,12.39298963824982,11.223519991793193,11.763716765344853,11.554579259258508,11.266668555736343,11.232683748360238,11.104368506746562,10.17324032704794,11.443011379686371,11.71977960487961,11.74981915840118,12.760877408828168,12.309808709537085,10.891110528951627,11.609420475523834,11.904343155788357,11.567887407960042
NMNAT1,nad_salvage_core,repair,Nuclear NMN adenylyltransferase supporting NAD synthesis,6.651077314937923,6.253919700641791,6.8118509852356,6.505651360234261,6.403540162117446,6.426219124555952,6.350900561872844,6.292791226083787,6.512013422031248,6.51042001592402,6.383711721902438,6.29168385285462,6.44507097948154,6.586170177065066,6.45489434685803,6.439901012420301,6.474569484749584,6.330422513556799,6.223188035007179,6.243752469132783,6.504929077049809,6.769508746031795,6.487037607968982,6.3082675762811755,6.429555878551489,6.300998962538956,6.257325230255094,6.168085595407103,6.4427613233702505,6.588107526709746,6.689247924380701,6.231346864940762,6.4306434765839295,6.3848854365475365,6.386123830386401,6.832799906186857,6.442612881812391,6.703095160991559,6.479181886245238,6.579078448544369,6.48615668485635,6.648803427227193,6.413301276043417,6.665716226849949,6.632586024243374,6.642927661045682,6.740047660811044,6.695626343836427
NMNAT2,nad_salvage_core,repair,Cytosolic/Golgi-associated NMN adenylyltransferase and stress-response NAD biology,6.245243186844223,5.817600320865392,6.349778136651851,6.234865703723862,6.134939506631118,6.084921815132199,6.171191812613091,5.917677275910111,6.270822372656454,6.162149936199035,6.132506310102241,5.984455373092405,6.418574188085271,6.1890414043193775,6.17903358942809,6.257685968862459,6.065999539607344,5.971746551576231,5.953381112546026,5.996780477768447,6.320027896697335,6.310012677486857,6.303440974793219,6.061490941954852,6.202858651816265,6.128185876844252,6.080230276958788,6.031512019375933,6.313769773768393,6.20343055687343,6.218560782254529,6.075149943920191,6.073266479958437,6.033485186594165,5.922987656791303,6.141007364248147,5.910721550678239,6.194522065012415,6.155379689007551,6.030633960316048,6.123829158049645,6.16732427142033,6.283804875699556,6.26957181166376,6.156536642589575,6.265343999060834,6.1977060613947765,6.151159456324463
NMNAT3,nad_salvage_core,repair,Mitochondrial-associated NMN adenylyltransferase linked to mitochondrial NAD pools,6.440546466030355,6.078501175926566,6.5628932458302796,6.150931877997399,6.076248453005002,6.2329701740196475,6.387442504514747,6.033619018539099,6.450403141282168,6.412894464297117,6.26891734457875,6.176822602220409,6.199002464784212,6.196302909927444,6.101868547850038,6.161795798314263,6.137558033640717,5.991682149215624,6.1731844124118105,6.264755220653882,6.305000861671882,6.095724453670321,6.096095255348852,6.083125058991412,6.313307716533673,6.318404521263889,6.123701369578999,6.201635429315582,6.0858350724837855,6.056196575839541,6.472308073254366,5.833981493530052,6.43318464381454,6.138023537976549,6.0222035583968205,6.532039491298274,6.424435230824397,6.724741664987598,6.42565231811197,6.079547930353468,6.248551913393677,6.594016696588437,6.573537674831496,6.7438649897105645,6.687259493251559,6.7488677387840355,6.202027020399437,6.24194979219792
NAPRT,nad_salvage_core,repair,Nicotinic acid phosphoribosyltransferase and alternative NAD precursor pathway,11.262007905101573,11.228978580335848,11.222851040118503,11.265616218453957,10.974332127245217,10.847985948543188,11.188370014182656,10.970682565682717,11.280965590389714,10.938727596639852,10.823370424799984,10.75368224831177,11.382065752288586,11.583914381595285,11.391005089968584,10.981941820273143,11.280475590507777,11.173532234979472,10.375732366894622,10.637812180129135,10.971603186029297,11.20470440399235,11.3325015159316,10.813416463871164,10.751386726457298,10.95633114039609,10.890945937585382,10.679137858688753,11.757778759548422,11.095760947483406,11.26774821197209,11.245705999314206,11.469210877461055,11.190425968171049,10.812985886779368,11.478046574300937,10.537099950995858,11.11243885515763,10.653653909909458,10.831006321028806,11.369625153057973,11.005891170526098,11.151593755194492,11.52470918722417,11.334936370319866,11.422470072892237,11.672929578304702,11.206971600148737
NADSYN1,nad_salvage_core,repair,NAD synthetase and terminal NAD biosynthesis step,10.703877625458784,10.062824632073317,10.685609072481277,10.626203657384178,10.116122991021342,10.08723342389078,10.4932460270064,10.284492155444953,10.538903796100495,10.176236741005074,10.045253196089421,10.040177370028752,10.791610608168993,10.496440378547504,10.193285096658903,10.259052346244241,10.253916014328137,10.079616780384411,9.95515250607052,9.864152863215272,10.671298680660982,10.639480901045086,10.56276425720695,10.332194351989124,10.313234512653457,10.119179772298839,10.338930214291393,9.876606728515847,10.468895858930452,10.281713316726078,10.76204063524293,10.627022193287077,10.525299591946212,10.597433404635035,10.178397199404031,10.745733139723932,10.275975474228282,10.483930624113752,10.356729257951098,10.453602971262978,10.594157555177453,10.75929983640024,11.043905624282184,10.766269663983023,10.833868879631527,10.627894969014154,10.77311612341437,10.734212549869307
QPRT,nad_de_novo,repair,De novo NAD pathway from tryptophan/kynurenine metabolism,6.506927811586242,6.236858794494371,6.77527182908287,6.6170723092634915,6.340252120345465,6.191573309802717,6.513550751358096,6.334855162972982,6.434519145760775,6.456723533521957,6.470384258019699,6.403202608688259,6.398371407214832,6.52012204871938,6.584317652280702,6.469206460552294,6.450681916685845,6.225965297563198,6.191440855000404,6.2553252952968785,6.513526433531038,6.661441785953729,6.561989434243181,6.418128372299419,6.3121875720371525,6.271922749497053,6.252894353434635,6.417388077944138,6.29451525370297,6.363081869820981,6.688114601980823,6.286909787069899,6.407709641440052,6.15645769845599,6.28348641709369,6.341426309891872,6.1941784787564105,6.438110506826859,6.3198744001547675,6.369061781295359,6.289514691346342,6.364922033380088,6.621859203149086,6.514550112066908,6.456674093230907,6.508474449132169,6.535882658399799,6.367480801359418
KYNU,nad_de_novo,inflammatory,Tryptophan-kynurenine pathway enzyme often coupled to inflammatory metabolism,11.154539350910012,10.798551183597015,11.705002042470774,12.03822044335011,11.03753665876578,10.867489181747462,11.147683517516201,11.120997587402385,11.235126290436094,11.034947144090626,11.111223390209341,11.083638214487651,11.900973761140705,11.606293235228463,11.412565877536064,10.654873624057382,10.99766500304031,10.53965683305375,10.438136878364825,10.925734301950465,11.083377271331074,10.810127752982398,10.69663245182082,10.937555157253982,11.12793823656699,10.559677740172042,10.567428796634927,10.240557322356496,11.362517832402432,11.080194289957749,11.898496336638196,11.042997540522892,11.419905417580807,11.91846618068687,11.34808300140523,11.52793974762791,11.159659456913692,11.733756398539748,11.418943087979418,11.077154857658217,11.54536995271024,11.424274434392906,11.755501226656722,12.21756805096618,11.547248821730019,11.560641881801226,12.150458449303777,11.542044464395845
IDO1,nad_de_novo,inflammatory,Inflammation-inducible tryptophan metabolism node upstream of NAD-related pathways,6.495451655312089,6.146525502429793,6.407851013563369,6.529146438239112,6.364319588339823,6.546949234969669,6.398932106293276,6.300085093512006,6.338031417629252,6.36131762223991,6.410684029591662,6.442821607843036,6.422907087781757,6.601934321711868,6.460348586115591,6.408877754628473,6.63709331154558,6.329425741074132,6.194128628311035,6.152603062184943,6.426407507346232,6.321283426864401,6.400077279756003,6.5550789777705685,6.406370677258404,6.314544454684653,6.132647577408861,6.026228842609916,6.563573211675573,6.496878537616406,6.230276614456864,6.325098537767491,6.356014187269702,6.0913113964979795,6.394849362232182,6.535729812309622,6.138270776075999,6.504939243614088,6.238217654553555,6.0038814844722,6.473475224653435,6.390248076500786,6.481837526382898,6.578302942115955,6.862740248573589,6.389497118823258,6.820541505700694,6.319796200930998
CD38,nad_consumption_inflammation,inflammatory,NAD-consuming ectoenzyme linked to inflammation and metabolic dysfunction,8.015662031787166,7.613606054695844,8.00038767220112,7.686473213766127,7.465956512304762,7.365821993254992,7.628334713570338,7.473174837565614,7.812842172116412,7.62623761258686,7.67029508761126,7.475318393822837,7.454110898046912,7.459622599146268,7.191903110873449,7.454166843405223,8.417918320527296,7.152021127020351,6.678066269574128,6.794786240503795,7.174066798700095,7.231700239151743,7.421559944901823,7.08623921411585,7.731509114789914,6.843025329049927,7.021236518631153,6.696882700224926,7.863951455428825,7.233302344813591,7.6776963892258605,8.178813220640809,7.405767771741184,7.32855645543703,7.623865399028465,8.086345380737864,7.120365419944853,7.315865070250025,6.924310144546189,7.016104036082342,7.558767377638525,7.4798707832310924,7.824481474700421,7.3870729800910775,8.07074459073734,7.01488526999021,8.330683429378176,6.970026489856709
